"1 HOUR BEFORE","1 DAY BEFORE","OUTPUT"
"6116.7312","7076.79612","6807.2796"
"6807.2796","7272.11376","8024.7024"
"8024.7024","7679.89584","6807.2796"
"6807.2796","7272.73728","6670.1052"
"6670.1052","6801.35616","6779.37708"
"6779.37708","6750.85104","6738.6924"
"6738.6924","6144.7896","6721.5456"
"6721.5456","6127.95456","6515.784"
"6515.784","6133.72212","6052.8204"
"6052.8204","6082.74936","6350.08356"
"6350.08356","6762.38616","6592.32108"
"6592.32108","7051.2318","7115.922"
"7115.922","8257.89888","8179.0236"
"8179.0236","8374.49712","8218.773"
"8218.773","8144.73","7832.81412"
"7832.81412","7218.8028","7747.85952"
"7747.85952","6921.072","8410.5054"
"8410.5054","6678.83448","6167.70396"
"6167.70396","6182.66844","5522.049"
"5522.049","5846.43528","5242.71204"
"5242.71204","5757.58368","5126.8932"
"5126.8932","5722.04304","5478.09084"
"5478.09084","5988.59784","5757.58368"
"5757.58368","6378.6096","6145.41312"
"6145.41312","7767.5004","7076.79612"
"7076.79612","7613.1792","7272.11376"
"7272.11376","6700.34592","7679.89584"
"7679.89584","6851.86128","7272.73728"
"7272.73728","6952.87152","6801.35616"
"6801.35616","6902.3664","6750.85104"
"6750.85104","6835.02624","6144.7896"
"6144.7896","6643.44972","6127.95456"
"6127.95456","6439.55868","6133.72212"
"6133.72212","6412.9032","6082.74936"
"6082.74936","6601.518","6762.38616"
"6762.38616","7094.0988","7051.2318"
"7051.2318","8357.19444","8257.89888"
"8257.89888","8097.65424","8374.49712"
"8374.49712","7558.93296","8144.73"
"8144.73","7323.08652","7218.8028"
"7218.8028","6796.368","6921.072"
"6921.072","5433.04152","6678.83448"
"6678.83448","6232.70592","6182.66844"
"6182.66844","5778.78336","5846.43528"
"5846.43528","5604.19776","5757.58368"
"5757.58368","5918.45184","5722.04304"
"5722.04304","6127.95456","5988.59784"
"5988.59784","7611.93216","6378.6096"
"6378.6096","7629.39072","7767.5004"
"7767.5004","7769.0592","7613.1792"
"7613.1792","6531.99552","6700.34592"
"6700.34592","6885.53136","6851.86128"
"6851.86128","6296.30496","6952.87152"
"6952.87152","6784.52112","6902.3664"
"6902.3664","6818.1912","6835.02624"
"6835.02624","6683.51088","6643.44972"
"6643.44972","6717.18096","6439.55868"
"6439.55868","6813.35892","6412.9032"
"6412.9032","6745.39524","6601.518"
"6601.518","7390.2708","7094.0988"
"7094.0988","8602.70544","8357.19444"
"8357.19444","8624.8404","8097.65424"
"8097.65424","8504.8128","7558.93296"
"7558.93296","8189.62344","7323.08652"
"7323.08652","7832.81412","6796.368"
"6796.368","7085.21364","5433.04152"
"5433.04152","5467.64688","6232.70592"
"6232.70592","5329.22544","5778.78336"
"5778.78336","5467.64688","5604.19776"
"5604.19776","5502.25224","5918.45184"
"5918.45184","6021.33264","6127.95456"
"6127.95456","6111.11952","7611.93216"
"7611.93216","6784.52112","7629.39072"
"7629.39072","6893.0136","7769.0592"
"7769.0592","6932.29536","6531.99552"
"6531.99552","6286.6404","6885.53136"
"6885.53136","6609.46788","6296.30496"
"6296.30496","6541.5042","6784.52112"
"6784.52112","6337.61316","6818.1912"
"6818.1912","6395.7564","6683.51088"
"6683.51088","6618.6648","6717.18096"
"6717.18096","6618.6648","6813.35892"
"6813.35892","6567.2244","6745.39524"
"6745.39524","7098.7752","7390.2708"
"7390.2708","8607.6936","8602.70544"
"8602.70544","8607.6936","8624.8404"
"8624.8404","8590.5468","8504.8128"
"8504.8128","8710.5744","8189.62344"
"8189.62344","7613.1792","7832.81412"
"7832.81412","7218.8028","7085.21364"
"7085.21364","5571.46296","5467.64688"
"5467.64688","5519.55492","5329.22544"
"5329.22544","5640.67368","5467.64688"
"5467.64688","5900.99328","5502.25224"
"5502.25224","6354.91584","6021.33264"
